 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,1.000,0.000,0.220,0.000,0.000,0.000,0.079,0.564,0.000,0.062,0.188,0.000,0.000,0.000,0.000
model.000.01.pdb,0.000,1.000,0.241,0.525,0.396,0.271,0.235,0.057,0.013,0.000,0.060,0.315,0.294,0.806,0.000
model.000.02.pdb,0.220,0.241,1.000,0.125,0.114,0.075,0.088,0.396,0.059,0.000,0.108,0.093,0.055,0.175,0.000
model.000.03.pdb,0.000,0.525,0.125,1.000,0.358,0.333,0.360,0.034,0.000,0.000,0.152,0.357,0.479,0.605,0.000
model.000.04.pdb,0.000,0.396,0.114,0.358,1.000,0.686,0.121,0.000,0.169,0.000,0.025,0.708,0.540,0.426,0.092
model.000.05.pdb,0.000,0.271,0.075,0.333,0.686,1.000,0.108,0.000,0.241,0.000,0.023,0.731,0.574,0.339,0.110
model.000.06.pdb,0.079,0.235,0.088,0.360,0.121,0.108,1.000,0.125,0.000,0.077,0.444,0.114,0.159,0.260,0.000
model.000.07.pdb,0.564,0.057,0.396,0.034,0.000,0.000,0.125,1.000,0.000,0.033,0.203,0.000,0.000,0.037,0.000
model.000.08.pdb,0.000,0.013,0.059,0.000,0.169,0.241,0.000,0.000,1.000,0.012,0.000,0.175,0.113,0.013,0.418
model.000.09.pdb,0.062,0.000,0.000,0.000,0.000,0.000,0.077,0.033,0.012,1.000,0.238,0.000,0.000,0.000,0.068
model.000.10.pdb,0.188,0.060,0.108,0.152,0.025,0.023,0.444,0.203,0.000,0.238,1.000,0.012,0.052,0.060,0.000
model.000.11.pdb,0.000,0.315,0.093,0.357,0.708,0.731,0.114,0.000,0.175,0.000,0.012,1.000,0.500,0.392,0.087
model.000.12.pdb,0.000,0.294,0.055,0.479,0.540,0.574,0.159,0.000,0.113,0.000,0.052,0.500,1.000,0.375,0.139
model.000.13.pdb,0.000,0.806,0.175,0.605,0.426,0.339,0.260,0.037,0.013,0.000,0.060,0.392,0.375,1.000,0.000
model.000.14.pdb,0.000,0.000,0.000,0.000,0.092,0.110,0.000,0.000,0.418,0.068,0.000,0.087,0.139,0.000,1.000
