 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.444,0.107,0.000,0.588,0.577,0.049,0.203,0.596,0.141,0.024,0.085,0.211,0.392,0.125,0.123,0.315,0.027,0.012,0.000,0.000,0.087,0.620,0.596,0.022,0.127,0.048,0.022,0.000,0.646,0.118
model.000.01.pdb,0.567,0.000,0.045,0.145,0.103,0.136,0.262,0.066,0.212,0.000,0.180,0.342,0.559,0.000,0.000,0.019,0.188,0.000,0.000,0.034,0.018,0.125,0.102,0.000,0.183,0.095,0.086,0.000,0.130,0.000
model.000.02.pdb,0.211,0.101,0.011,0.466,0.720,0.085,0.087,0.706,0.049,0.141,0.013,0.237,0.250,0.118,0.222,0.415,0.000,0.099,0.011,0.000,0.097,0.735,0.706,0.103,0.208,0.152,0.043,0.000,0.694,0.111
model.000.03.pdb,0.016,0.000,0.239,0.038,0.093,0.288,0.000,0.092,0.013,0.491,0.027,0.190,0.076,0.013,0.217,0.109,0.103,0.466,0.290,0.182,0.014,0.052,0.122,0.614,0.483,0.582,0.424,0.018,0.068,0.027
model.000.04.pdb,0.259,0.132,0.000,0.680,0.700,0.048,0.121,0.792,0.077,0.060,0.026,0.180,0.276,0.151,0.169,0.396,0.000,0.035,0.000,0.000,0.099,0.750,0.792,0.056,0.122,0.071,0.021,0.000,0.745,0.145
model.000.05.pdb,0.030,0.000,0.400,0.063,0.076,0.517,0.028,0.117,0.077,0.571,0.096,0.263,0.156,0.000,0.056,0.028,0.200,0.517,0.373,0.306,0.054,0.077,0.132,0.583,0.415,0.525,0.516,0.070,0.108,0.000
model.000.06.pdb,0.052,0.646,0.024,0.283,0.200,0.000,0.175,0.234,0.167,0.000,0.123,0.000,0.031,0.638,0.232,0.155,0.029,0.000,0.012,0.014,0.511,0.185,0.162,0.011,0.000,0.000,0.011,0.059,0.154,0.714
model.000.07.pdb,0.028,0.022,0.371,0.060,0.059,0.409,0.013,0.110,0.047,0.603,0.076,0.222,0.113,0.011,0.095,0.039,0.153,0.476,0.366,0.265,0.051,0.072,0.110,0.613,0.426,0.484,0.522,0.048,0.087,0.037
model.000.08.pdb,0.372,0.132,0.000,0.705,0.617,0.026,0.140,0.604,0.103,0.013,0.044,0.167,0.275,0.154,0.136,0.354,0.015,0.000,0.000,0.000,0.095,0.630,0.571,0.000,0.092,0.013,0.000,0.000,0.622,0.148
model.000.09.pdb,0.594,0.000,0.057,0.175,0.133,0.183,0.295,0.095,0.264,0.014,0.189,0.375,0.629,0.000,0.000,0.018,0.196,0.000,0.000,0.049,0.034,0.155,0.131,0.000,0.210,0.106,0.096,0.000,0.140,0.016
model.000.10.pdb,0.000,0.143,0.013,0.167,0.291,0.000,0.000,0.241,0.000,0.088,0.000,0.000,0.000,0.186,0.771,0.538,0.000,0.121,0.054,0.015,0.016,0.228,0.220,0.174,0.099,0.101,0.064,0.000,0.236,0.182
model.000.11.pdb,0.032,0.783,0.048,0.231,0.157,0.000,0.148,0.188,0.143,0.000,0.134,0.000,0.014,0.702,0.161,0.111,0.028,0.012,0.060,0.027,0.510,0.143,0.123,0.011,0.000,0.000,0.022,0.096,0.114,0.667
model.000.12.pdb,0.264,0.149,0.000,0.627,0.826,0.036,0.123,0.809,0.078,0.048,0.026,0.164,0.237,0.153,0.190,0.431,0.000,0.036,0.000,0.000,0.116,0.844,0.771,0.044,0.110,0.060,0.000,0.000,0.723,0.164
model.000.13.pdb,0.058,0.011,0.600,0.000,0.023,0.722,0.082,0.034,0.156,0.476,0.164,0.328,0.197,0.011,0.000,0.000,0.431,0.476,0.426,0.483,0.064,0.023,0.034,0.408,0.426,0.508,0.619,0.082,0.036,0.000
model.000.14.pdb,0.000,0.103,0.255,0.000,0.000,0.138,0.106,0.000,0.265,0.158,0.349,0.000,0.000,0.088,0.000,0.000,0.333,0.158,0.207,0.372,0.273,0.000,0.000,0.106,0.029,0.079,0.119,0.625,0.000,0.075
model.000.15.pdb,0.265,0.159,0.000,0.660,0.717,0.038,0.097,0.702,0.054,0.025,0.000,0.179,0.236,0.182,0.207,0.447,0.000,0.012,0.000,0.000,0.091,0.733,0.667,0.023,0.117,0.050,0.000,0.000,0.767,0.177
model.000.16.pdb,0.073,0.638,0.025,0.250,0.169,0.000,0.182,0.203,0.190,0.000,0.145,0.000,0.032,0.596,0.136,0.083,0.030,0.000,0.037,0.014,0.605,0.154,0.132,0.012,0.000,0.000,0.011,0.083,0.123,0.628
model.000.17.pdb,0.061,0.129,0.000,0.388,0.605,0.029,0.018,0.591,0.000,0.043,0.000,0.143,0.137,0.153,0.304,0.526,0.000,0.043,0.000,0.000,0.016,0.581,0.522,0.039,0.101,0.057,0.000,0.000,0.571,0.125
model.000.18.pdb,0.234,0.188,0.052,0.121,0.056,0.054,0.561,0.056,0.609,0.013,0.522,0.016,0.185,0.156,0.000,0.000,0.172,0.013,0.012,0.076,0.417,0.072,0.041,0.024,0.025,0.026,0.048,0.133,0.043,0.190
model.000.19.pdb,0.243,0.049,0.045,0.148,0.086,0.065,0.677,0.085,0.476,0.015,0.415,0.000,0.156,0.051,0.000,0.000,0.143,0.015,0.014,0.073,0.244,0.088,0.067,0.028,0.029,0.030,0.056,0.054,0.053,0.096
model.000.20.pdb,0.073,0.604,0.025,0.293,0.206,0.013,0.182,0.242,0.119,0.013,0.092,0.000,0.032,0.596,0.218,0.140,0.000,0.013,0.025,0.000,0.468,0.190,0.167,0.024,0.000,0.000,0.023,0.020,0.159,0.750
model.000.21.pdb,0.203,0.127,0.000,0.554,0.760,0.046,0.085,0.780,0.048,0.110,0.000,0.172,0.222,0.145,0.295,0.510,0.000,0.083,0.000,0.000,0.095,0.740,0.712,0.101,0.173,0.134,0.042,0.000,0.735,0.139
model.000.22.pdb,0.056,0.562,0.013,0.304,0.213,0.000,0.145,0.250,0.090,0.013,0.062,0.000,0.033,0.587,0.275,0.167,0.000,0.000,0.013,0.000,0.367,0.197,0.172,0.024,0.000,0.000,0.024,0.000,0.164,0.700
model.000.23.pdb,0.062,0.024,0.673,0.012,0.000,0.561,0.103,0.000,0.164,0.391,0.174,0.177,0.103,0.024,0.000,0.000,0.491,0.435,0.453,0.608,0.053,0.000,0.000,0.412,0.329,0.444,0.633,0.107,0.000,0.000
model.000.24.pdb,0.042,0.661,0.032,0.300,0.179,0.000,0.110,0.208,0.083,0.022,0.074,0.000,0.013,0.625,0.186,0.157,0.000,0.000,0.076,0.011,0.328,0.167,0.163,0.062,0.010,0.010,0.051,0.062,0.141,0.623
model.000.25.pdb,0.514,0.000,0.086,0.150,0.148,0.281,0.157,0.127,0.150,0.074,0.102,0.629,0.735,0.000,0.000,0.017,0.167,0.058,0.027,0.065,0.016,0.169,0.164,0.039,0.351,0.210,0.139,0.000,0.196,0.000
model.000.26.pdb,0.292,0.096,0.012,0.592,0.717,0.025,0.133,0.702,0.083,0.025,0.028,0.158,0.259,0.114,0.167,0.417,0.000,0.025,0.000,0.000,0.091,0.773,0.739,0.035,0.103,0.050,0.000,0.000,0.727,0.106
model.000.27.pdb,0.093,0.354,0.000,0.400,0.280,0.000,0.233,0.327,0.145,0.000,0.093,0.000,0.039,0.400,0.146,0.178,0.000,0.000,0.000,0.000,0.326,0.260,0.226,0.000,0.000,0.000,0.000,0.000,0.220,0.450
model.000.28.pdb,0.160,0.267,0.066,0.121,0.071,0.026,0.422,0.070,0.510,0.040,0.458,0.000,0.103,0.213,0.000,0.000,0.115,0.040,0.065,0.092,0.581,0.072,0.056,0.024,0.000,0.013,0.024,0.244,0.043,0.255
model.000.29.pdb,0.000,0.000,0.213,0.000,0.133,0.268,0.018,0.113,0.015,0.449,0.033,0.196,0.075,0.000,0.157,0.096,0.109,0.479,0.250,0.143,0.000,0.081,0.131,0.444,0.389,0.521,0.290,0.000,0.083,0.000
